Station;
Date;16.09.25
Time;21:55:41
Workpiece;
Tool;01
Application;02
Min. Total Angle;-3246
Max. Total Angle;13
Angle;Torque;Window ID
0,00;0,00
1,00;0,04
2,00;0,04
3,00;0,04
4,00;0,04
5,00;0,07
6,00;0,07
7,00;0,07
8,00;0,07
9,00;0,07
10,00;0,07
11,00;0,11
12,00;0,07
13,00;0,07
14,00;0,04
15,00;0,00
16,00;0,04
17,00;0,04
18,00;0,07
19,00;0,07
20,00;0,07
21,00;0,04
22,00;0,07
23,00;0,07
24,00;0,11
25,00;0,07
26,00;0,04
27,00;0,04
28,00;0,04
29,00;0,00
30,00;0,07
31,00;0,07
32,00;0,07
33,00;0,11
34,00;0,07
35,00;0,07
36,00;0,07
37,00;0,11
38,00;0,11
39,00;0,11
40,00;0,07
41,00;0,07
42,00;0,04
43,00;0,04
44,00;0,07
45,00;0,07
46,00;0,07
47,00;0,11
48,00;0,11
49,00;0,11
50,00;0,11
51,00;0,11
52,00;0,15
53,00;0,07
54,00;0,04
55,00;0,00
56,00;0,00
57,00;0,00
58,00;0,04
59,00;0,11
60,00;0,07
61,00;0,07
62,00;0,07
63,00;0,15
64,00;0,15
65,00;0,15
66,00;0,07
67,00;0,04
68,00;0,04
69,00;0,00
70,00;0,00
71,00;0,07
72,00;0,07
73,00;0,11
74,00;0,04
75,00;0,07
76,00;0,11
77,00;0,07
78,00;0,07
79,00;0,07
80,00;0,04
81,00;0,04
82,00;0,00
83,00;0,04
84,00;0,07
85,00;0,11
86,00;0,15
87,00;0,11
88,00;0,07
89,00;0,11
90,00;0,07
91,00;0,07
92,00;0,07
93,00;0,07
94,00;0,00
95,00;0,04
96,00;0,04
97,00;0,04
98,00;0,11
99,00;0,11
100,00;0,11
101,00;0,11
102,00;0,11
103,00;0,15
104,00;0,15
105,00;0,11
106,00;0,11
107,00;0,04
108,00;0,04
109,00;-0,04
110,00;0,07
111,00;0,11
112,00;0,11
113,00;0,07
114,00;0,11
115,00;0,11
116,00;0,15
117,00;0,15
118,00;0,11
119,00;0,15
120,00;0,11
121,00;0,00
122,00;0,07
123,00;0,07
124,00;0,07
125,00;0,07
126,00;0,07
127,00;0,07
128,00;0,11
129,00;0,11
130,00;0,11
131,00;0,11
132,00;0,11
133,00;0,04
134,00;0,00
135,00;0,00
136,00;0,04
137,00;0,11
138,00;0,11
139,00;0,07
140,00;0,07
141,00;0,15
142,00;0,15
143,00;0,15
144,00;0,11
145,00;0,04
146,00;0,04
147,00;0,00
148,00;0,00
149,00;0,00
150,00;0,00
151,00;0,07
152,00;0,07
153,00;0,07
154,00;0,11
155,00;0,15
156,00;0,11
157,00;0,11
158,00;0,07
159,00;0,07
160,00;0,00
161,00;0,00
162,00;0,00
163,00;0,07
164,00;0,07
165,00;0,11
166,00;0,15
167,00;0,15
168,00;0,15
169,00;0,15
170,00;0,11
171,00;0,04
172,00;0,04
173,00;0,04
174,00;-0,04
175,00;0,00
176,00;0,00
177,00;0,07
178,00;0,07
179,00;0,11
180,00;0,11
181,00;0,11
182,00;0,11
183,00;0,15
184,00;0,15
185,00;0,07
186,00;0,04
187,00;0,00
188,00;0,07
189,00;0,00
190,00;0,15
191,00;0,15
192,00;0,15
193,00;0,07
194,00;0,15
195,00;0,15
196,00;0,15
197,00;0,11
198,00;0,04
199,00;0,00
200,00;0,04
201,00;0,04
202,00;0,07
203,00;0,04
204,00;0,11
205,00;0,11
206,00;0,11
207,00;0,11
208,00;0,11
209,00;0,11
210,00;0,11
211,00;0,04
212,00;0,00
213,00;0,04
214,00;-0,04
215,00;0,07
216,00;0,07
217,00;0,11
218,00;0,11
219,00;0,11
220,00;0,18
221,00;0,11
222,00;0,15
223,00;0,11
224,00;0,07
225,00;0,07
226,00;0,07
227,00;0,00
228,00;0,00
229,00;0,00
230,00;0,07
231,00;0,11
232,00;0,07
233,00;0,11
234,00;0,11
235,00;0,15
236,00;0,11
237,00;0,04
238,00;0,04
239,00;0,04
240,00;0,00
241,00;0,00
242,00;0,04
243,00;0,07
244,00;0,11
245,00;0,11
246,00;0,18
247,00;0,18
248,00;0,11
249,00;0,11
250,00;0,07
251,00;0,04
252,00;0,04
253,00;0,00
254,00;0,00
255,00;0,07
256,00;0,07
257,00;0,11
258,00;0,11
259,00;0,15
260,00;0,15
261,00;0,15
262,00;0,04
263,00;0,11
264,00;0,11
265,00;0,04
266,00;0,00
267,00;0,07
268,00;0,07
269,00;0,11
270,00;0,11
271,00;0,11
272,00;0,15
273,00;0,15
274,00;0,15
275,00;0,11
276,00;0,15
277,00;0,07
278,00;0,04
279,00;0,00
280,00;0,04
281,00;0,11
282,00;0,11
283,00;0,11
284,00;0,15
285,00;0,15
286,00;0,07
287,00;0,18
288,00;0,15
289,00;0,11
290,00;0,07
291,00;0,04
292,00;0,04
293,00;0,04
294,00;0,04
295,00;0,04
296,00;0,07
297,00;0,11
298,00;0,15
299,00;0,11
300,00;0,11
301,00;0,11
302,00;0,07
303,00;0,04
304,00;0,04
305,00;0,00
306,00;0,00
307,00;0,07
308,00;0,07
309,00;0,07
310,00;0,07
311,00;0,15
312,00;0,18
313,00;0,11
314,00;0,11
315,00;0,07
316,00;0,11
317,00;0,04
318,00;0,07
319,00;-0,04
320,00;0,04
321,00;0,07
322,00;0,11
323,00;0,11
324,00;0,18
325,00;0,11
326,00;0,15
327,00;0,11
328,00;0,11
329,00;0,07
330,00;0,00
331,00;0,00
332,00;-0,04
333,00;0,00
334,00;0,04
335,00;0,15
336,00;0,11
337,00;0,11
338,00;0,07
339,00;0,11
340,00;0,15
341,00;0,07
342,00;0,07
343,00;0,04
344,00;0,00
345,00;0,07
346,00;0,00
347,00;0,11
348,00;0,07
349,00;0,11
350,00;0,11
351,00;0,11
352,00;0,11
353,00;0,11
354,00;0,11
355,00;0,11
356,00;0,04
357,00;0,00
358,00;-0,04
359,00;-0,04
360,00;0,07
361,00;0,15
362,00;0,11
363,00;0,11
364,00;0,15
365,00;0,11
366,00;0,11
367,00;0,15
368,00;0,07
369,00;0,11
370,00;0,04
371,00;0,00
372,00;0,07
373,00;0,04
374,00;0,15
375,00;0,15
376,00;0,11
377,00;0,11
378,00;0,15
379,00;0,15
380,00;0,11
381,00;0,07
382,00;0,00
383,00;0,07
384,00;0,07
385,00;0,00
386,00;0,04
387,00;0,04
388,00;0,07
389,00;0,15
390,00;0,11
391,00;0,07
392,00;0,15
393,00;0,07
394,00;0,07
395,00;0,11
396,00;0,07
397,00;-0,04
398,00;0,00
399,00;0,15
400,00;0,07
401,00;0,07
402,00;0,15
403,00;0,11
404,00;0,15
405,00;0,15
406,00;0,15
407,00;0,07
408,00;0,22
409,00;0,07
410,00;-0,04
411,00;0,04
412,00;0,07
413,00;0,07
414,00;0,07
415,00;0,07
416,00;0,15
417,00;0,15
418,00;0,11
419,00;0,11
420,00;0,11
421,00;0,00
422,00;0,04
423,00;0,00
424,00;0,04
425,00;0,04
426,00;0,11
427,00;0,07
428,00;0,11
429,00;0,15
430,00;0,15
431,00;0,22
432,00;0,11
433,00;0,11
434,00;0,07
435,00;0,04
436,00;0,04
437,00;0,00
438,00;0,00
439,00;0,07
440,00;0,11
441,00;0,11
442,00;0,15
443,00;0,11
